LCA Material ID,LCA Material Name,Stage,Oekobaudat Link,LCA massValue,Oekobaudat massValue,massValue Difference,massValue Difference Percentage,LCA GWP,Oekobaudat GWP,GWP Difference,GWP Difference Percentage,LCA ODP,Oekobaudat ODP,ODP Difference,ODP Difference Percentage,LCA POCP,Oekobaudat POCP,POCP Difference,POCP Difference Percentage,LCA AP,Oekobaudat AP,AP Difference,AP Difference Percentage,LCA EP,Oekobaudat EP,EP Difference,EP Difference Percentage,LCA ADPE,Oekobaudat ADPE,ADPE Difference,ADPE Difference Percentage,LCA ADPF,Oekobaudat ADPF,ADPF Difference,ADPF Difference Percentage,LCA PERT,Oekobaudat PERT,PERT Difference,PERT Difference Percentage,LCA PENRT,Oekobaudat PENRT,PENRT Difference,PENRT Difference Percentage,LCA RSF,Oekobaudat RSF,RSF Difference,RSF Difference Percentage,LCA NRSF,Oekobaudat NRSF,NRSF Difference,NRSF Difference Percentage
a255934e-5461-4501-9acf-20ad1b51b044,"Stål , Smedestål",A1 - A3,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=a255934e-5461-4501-9acf-20ad1b51b044,1.0,7850.0,7849.0,784900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
531ab34f-6750-41a8-aedc-35cf4df3c8b1,"Stål , varmvalset plade , 2-20 mm",A1 - A3,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=531ab34f-6750-41a8-aedc-35cf4df3c8b1,1.0,7850.0,7849.0,784900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
f34a799a-52de-4f69-a623-335f5be207d9,"Stål , varmvalset plade , Genanvendelse",C4,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=f34a799a-52de-4f69-a623-335f5be207d9,1.0,7850.0,7849.0,784900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
f34a799a-52de-4f69-a623-335f5be207d9,"Stål , varmvalset plade , Genanvendelse",D,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=f34a799a-52de-4f69-a623-335f5be207d9,1.0,7850.0,7849.0,784900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
9cbdbafe-8377-46ca-a640-8e3c8fc518c0,"Stålplade ( 0,3-3,0mm )",A1 - A3,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=9cbdbafe-8377-46ca-a640-8e3c8fc518c0,1.0,7850.0,7849.0,784900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
93edef71-49e3-4e1f-ba6d-1e449e7d328d,Stålplade ( 20 mikrometer galvaniseret ),A1 - A3,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=93edef71-49e3-4e1f-ba6d-1e449e7d328d,1.0,7850.0,7849.0,784900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
88559403-7658-48f2-bac9-7986b4d0f4c2,"Stålplade , rustfri",A1 - A3,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=88559403-7658-48f2-bac9-7986b4d0f4c2,1.0,7900.0,7899.0,789900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
38051c22-fbd1-4b0e-944a-ae348b8c7695,Stålprofil,A1 - A3,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=38051c22-fbd1-4b0e-944a-ae348b8c7695,1.0,7850.0,7849.0,784900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
d9f045e5-ae07-4ae6-9fde-5346560411d8,"Stålprofil , Genanvendelse",C4,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=d9f045e5-ae07-4ae6-9fde-5346560411d8,1.0,7850.0,7849.0,784900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
d9f045e5-ae07-4ae6-9fde-5346560411d8,"Stålprofil , Genanvendelse",D,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=d9f045e5-ae07-4ae6-9fde-5346560411d8,1.0,7850.0,7849.0,784900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
